HashFunction,HashOwner,HashApp,SampleCount,AverageAllocatedMb,AverageAllocatedMb_pct1,AverageAllocatedMb_pct5,AverageAllocatedMb_pct25,AverageAllocatedMb_pct50,AverageAllocatedMb_pct75,AverageAllocatedMb_pct95,AverageAllocatedMb_pct99,AverageAllocatedMb_pct100
cbb155892986a500d75907ab964bf26e67caee4e2fee16607e5e36a558c7c07d,efd511e7a6bb48fbff316406582068e230ca1ce80e7bfa67cf2e398acd43cb35,7bd7e2bf570cbfd6ebd72c628aa8bff1fc9627b8052d8960fd94609af575d663,75235,14.3,11.9,12.3,13.2,14.2,15.5,16.9,18.3,25.4
9ae854de13d40bb9082cfcc9cf9d5832431b5a532ec3d6f56a7705efaa58e8d9,fca2310ccf911080b19d6e90e80e63e4afdecb3ead06a09bbb3832558ec368f3,f3676eb37576dc5aeaacce9267aa0fc4360ec1e437cf2404a638c57dee55d89a,17238,13.2,12.8,13.0,13.1,13.2,13.3,13.5,15.0,15.1
7ea6943a3283f724c12c50663db0f70b1f95d21e3966c2b10f1256c53053852a,30a876e80855f9f46187a876eb5d2d39a93fb3d1b9f31eb7d3b2859ee5a90ab1,8f044447f82ae4606a5762193ff61b14dbf25e24a816197e01a73fd8eba1a93e,43075,15.307692307692308,8.461538461538462,13.76923076923077,14.923076923076923,15.538461538461538,16.23076923076923,16.923076923076923,17.846153846153847,22.846153846153847
e4c9b86e49fc4881785f57664c7080bfe0cbf49fb876216af1214f227685cb15,6c3d59649e35dbb123096085713161551af4fd6da6396ae73e9fb5da0c7d68db,215f4b669020102ca54d8a5d7f6bf45fd25bb2a90ce9dc6f37784518c5936e72,17250,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0
6641a525ff49a5a47695d10f2347760569aac6a94b442ecd0b9527f9367d67b5,b602a90cb8ff998be304c3b3c0d755ae638062ca83dc4fe237cda67a2a1899f0,3d7322c54ad4c156f573c247ae7addef21e87b588712204d439465358c03d3bf,17303,198.0,189.0,190.0,192.0,201.0,204.0,206.0,206.0,231.0
07f58313aa95ffc4d64c9a6a8967a8a6adb416d6b2caf430c21b22378af1e525,f96e634eb2b18b9b608122195770dcfe4cbc000ee90e5c967940cb71cec002a5,731cb2669db506b18bfca33c1fe8f63a1bf8ed671bbeda51cd18ad783d2853eb,17237,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.375
35196c9a3cee4e22d988206fbd9c69327d752d7e77c145cea2a4c5babd743855,c21e5054a535517fafc56f185449e08d332c2e9287d6f33cfce5d72b42033c3e,e9074dab7d9e7ecc1cbd0245012f7a80a905d72f6e24d09b3b3d0c1d8137b3cb,208653,27.5,12.666666666666666,14.333333333333334,28.166666666666668,30.83333333333333,31.666666666666668,33.833333333333336,35.833333333333336,54.5
5c598d0743ce77f43d6924465a037e230c59102c6e3764bc08b928fec26d4bcb,4a8c839c302c9e4c597dfa52c8ef8db10d082dda343c7792e9b24b3649c029bd,f0e069c2ee97e2e26804686df4dae2e58ffaf5050ca4c84cd55fadeae95429d5,17253,159.0,139.0,144.0,151.0,158.0,167.0,181.0,195.0,218.0
64ffa759cc1fbcbd935b96d1f6b182ebd12f648a6a9783eb7a676f18ca86b98b,06251669ac5f2e14073bdc770578f97085cb4a623838a7a530b91351170d02a0,c0dbf8fb69a23368affc2747834d6dfab9cdaaa7e1dc3a28d0c9888c12b89b81,11868,35.5,20.166666666666668,20.83333333333333,30.33333333333333,36.833333333333336,41.833333333333336,44.66666666666666,46.0,46.5
0f6ad4a21372a0c1c319392c078c4eb047f709fb795876869258aa3474b6e191,a13876e7f5f1150478cae3c59d1924a385e62076dcc68970cb55df18ab72c969,0d5134c5b914e413573a538688676d188b6acf2b2d090253757029a816f87cfc,17254,12.307692307692308,10.461538461538462,10.538461538461538,10.923076923076923,11.23076923076923,14.153846153846152,14.692307692307692,15.615384615384617,25.53846153846154
